fold,selected_epoch,accuracy,macro_f1,weighted_f1,n_eval,n_correct,n_unparseable,elapsed_seconds
1,3.0,0.7450199203187251,0.7543816094398038,0.7474236176970065,251,187,0,165.28206610679626
2,5.0,0.8605577689243028,0.8541219044491601,0.8630049541316773,251,216,1,164.2451741695404
3,4.0,0.8366533864541833,0.8428630712726459,0.838097617141666,251,210,1,167.0941870212555
4,5.0,0.84,0.8487941964357061,0.838538984682381,250,210,0,165.34504890441895
5,4.0,0.828,0.8359987816154125,0.8248718949152235,250,207,0,171.9836630821228
